company_id,company_market_id,company_name,is_dead_company,is_fake_company,is_geo_enabled_company,is_shiftgig_company,is_status_company,tenant_id,updated
3533,30,Hallmark,false,true,false,false,true,3,2017-10-29T13:06:55.886605
1166,2,Compass | Restaurant Associates | Viacom,false,false,false,false,true,1,2017-09-21T20:00:53.065618
19,1,Chow ToGo,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1152,1,Compass | Chartwells | Illinois College of Optometry,false,false,false,false,true,1,2018-03-26T09:14:17.505259
2733,5,Twisted Catfish,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2012,12,Compass | Flik - Marquette University High School,false,false,true,false,true,1,2017-09-21T20:00:53.065618
2219,2,Nordstrom Rack | Bergen Town Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2826,15,Wasserman - SGE,false,false,true,false,true,1,2017-09-21T20:00:53.065618
1871,4,Atl | Clubcorp | Laurel Springs Golf Club,false,false,false,false,true,1,2018-02-15T13:59:54.910449
520,1,Field Museum (master Account Do Not Use),true,false,false,false,true,1,2017-09-21T20:00:53.065618
1584,9,Walmart | Glendale #3465,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2766,3,Walmart : Store Remodel : Hickory Creek : #3286,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2352,13,DO NOT USE!!,true,false,false,false,true,1,2017-09-21T20:00:53.065618
2373,6,Marketing Werks | RITZ,false,false,false,false,true,1,2017-09-21T20:00:53.065618
953,3,Chef Pete Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3608,5,Signature Manor,false,false,false,false,true,1,2017-12-05T19:24:05.593454
160,1,Taste America,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3645,3,KIPP DFW | Truth Elementary,false,false,false,false,true,1,2018-01-08T11:39:22.040306
1008,3,Compass I Saint Jude Medical,false,false,false,false,true,1,2017-09-21T20:00:53.065618
726,4,Do not Use Atl-Sodexo-Cox Catering 2,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3045,7,Memphis | Premium Retail Services | Walgreens,false,false,false,false,true,1,2017-09-21T20:00:53.065618
993,1,Compass | Eurest | Plaza Cafe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
787,5,Guidant | Starwood | The Westin Houston Memorial City,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3199,16,DXL Group | Philadelphia,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1032,4,ATL-Sodexo-Fiserv,false,false,false,false,true,1,2017-09-21T20:00:53.065618
